Key,Description,Standard,RU,ENG
SAY.TV world Cycle 1.39.,,"LADIES AND GENTLEMEN, WELCOME!","ЛЕДИ И ДЖЕНТЛЬМЕНЫ, ДОБРО ПОЖАЛОВАТЬ!!","LADIES AND GENTLEMEN, WELCOME!"
SAY.TV world Cycle 1.5.,,"MY NAME IS SETH, AND TODAY'S PUBLIC SERVICE ANNOUNCEMENT IS DEDICATED TO: YOUR FEARS!","МЕНЯ ЗОВУТ СЕТ, И В СЕГОДНЯШНЕЙ ПЕРЕДАЧЕ МЫ ПОГОВОРИМ О: ВАШИХ СТРАХАХ!","MY NAME IS SETH, AND TODAY'S PUBLIC SERVICE ANNOUNCEMENT IS DEDICATED TO: YOUR FEARS!"
SAY.TV world Cycle 1.6.,,THIS PROGRAM IS BROUGHT TO YOU BY THE SALVATION PROJECT.,ГЛАВНЫЙ СПОНСОР НАШЕЙ ПРОГРАММЫ - ПРОЖЕКТ ИСКУПЛЕНИЯ,THIS PROGRAM IS BROUGHT TO YOU BY THE SALVATION PROJECT.
SAY.TV world Cycle 1.7.,,And what fear are we going to be discussing today?,И о каких же страхах мы будем говорить?,And what fear are we going to be discussing today?
MENU.TV world Cycle 1.10,,Spiders,Пауки,Spiders
MENU.TV world Cycle 1.12,,The Nuclear War,Ядерная война,The Nuclear War
MENU.TV world Cycle 1.13,,Satanism,Сатанизм,Satanism
SAY.TV world Cycle 1.76.,,THAT'S RIGHT!,ПРАВИЛЬНО!,THAT'S RIGHT!
SAY.TV world Cycle 1.77.,,SATANISM!,САТАНИЗМ!,SATANISM!
SAY.TV world Cycle 1.78.,,"Satanism is a great danger to our citizens, and we aaaall should be on our toes!","Итак, сатанизм представляет огромную опасность для наших граждан, потому мы все должны быть начеку!","Satanism is a great danger to our citizens, and we aaaall should be on our toes!"
SAY.TV world Cycle 1.79.,,"It's a danger to our souls, to our world, and OUR way of living!","Наш мир, наш образ жизни, наши ДУШИ находятся в опасности!","It's a danger to our souls, to our world, and OUR way of living!"
SAY.TV world Cycle 1.80.,,And this Danger strikes where it hurts most - our children!,А главную опасность берут на себя наши дети!,And this Danger strikes where it hurts most - our children!
SAY.TV world Cycle 1.81.,,"To make sure your kids are safe, you should locate the satanic objects in your household before it's too late!","Чтобы уберечь ваших детей, необходимо избавиться от дьявольских вещей внутри вашего дома!","To make sure your kids are safe, you should locate the satanic objects in your household before it's too late!"
SAY.TV world Cycle 1.82.,,"The typical satanic objects include: satanic audiotapes, satanic posters, or satanic books. ","Дьявольские кассеты, дьявольские постеры, дьявольские книги, всё это - типичные вещи Дьявола.","The typical satanic objects include: satanic audiotapes, satanic posters, or satanic books. "
SAY.TV world Cycle 1.98.,,"Beware, these can be hidden in plain sight!","Будьте внимательны, они могут быть скрыты на самом видном месте.","Beware, these can be hidden in plain sight!"
SAY.TV world Cycle 1.83.,,"And on that, we wish your family luck, in searching and destroying the threats inside your home!",На этой ноте мы желаем вашей семье удачи в поиске и устранении угроз в вашем доме.,"And on that, we wish your family luck, in searching and destroying the threats inside your home!"
SAY.TV world Cycle 1.84.,,"Be careful, because if you don't care, THEY WILL.","Берегите себя и своих близких, иначе беречь будет нечего!","Be careful, because if you don't care, THEY WILL."
SAY.TV world Cycle 1.99.,,This has been a broadcast from the Salvation Project. Until next time!\nSeth out!,"Это был эфир Прожекта Искупления, с вами был Сет.\nДо скорой встречи!",This has been a broadcast from the Salvation Project. Until next time!\nSeth out!
SAY.Blackout.1.,,Karen: Oh no! I think the power went out because of the overload!,"Карен: О нет! Кажется, пробки выбило из-за нагрузки!",Karen: Oh no! I think the power went out because of the overload!
SAY.Blackout.2.,,I should go down to the garage and restart the power.,Я должна спуститься в гараж и включить свет.,I should go down to the garage and restart the power.
SAY.Blackout Garage Cycle 2.2.,,"The power is on, everything is ok.","Свет работает, всё хорошо.","The power is on, everything is ok."
SAY.Blackout Garage Cycle 2.3.,,I think I almost died! It was so dark! And something definitely was in here!,"Мне кажется, я чуть не померла! Было так темно и там точно что-то было!",I think I almost died! It was so dark! And something definitely was in here!
SAY.Blackout Garage Cycle 2.4.,,Good thing I managed to bring the light back to my house!,"Хорошо, что я смогла включить свет в доме!",Good thing I managed to bring the light back to my house!
SAY.Blackout Garage Cycle 2.5.,,I should go and rest...,Мне нужно прилечь...,I should go and rest...
SAY.Main Room Cycle 2.3.,,...,...,...
SAY.Main Room Cycle 2.96.,,"And, you have correctly identified, that Satan is the root of all problems!","И, как вы правильно определили, Дьявол - корень всех проблем!","And, you have correctly identified, that Satan is the root of all problems!"
SAY.Main Room Cycle 2.90.,,"Even if you are afraid of the Nuclear War, it's not imminent, and does not rely on your participation. However this problem does!","Даже если вы боитесь ядерной войны, она случится еще не скоро, и вам её не остановить. А вот эту проблему предотвратить можно!","Even if you are afraid of the Nuclear War, it's not imminent, and does not rely on your participation. However this problem does!"
SAY.Main Room Cycle 2.98.,,"Satan is very much real, and is nearing your home! Perhaps you noticed the signs already!","Дьявол очень даже реален, и он приближается к вашему дому! Возможно вы даже заметили некоторые предпосылки…","Satan is very much real, and is nearing your home! Perhaps you noticed the signs already!"
SAY.Main Room Cycle 2.103.,,"The lights, your son's behaviour... And however more that you don't notice!  And I am here, to help you with the protection of your home!","Проблемы со светом, поведение вашего сына… И еще многое, на что вы не обращаете внимание! Поэтому я здесь, чтобы помочь защитить ваш дом!","The lights, your son's behaviour... And however more that you don't notice!  And I am here, to help you with the protection of your home!"
SAY.Main Room Cycle 2.102.,,Karen: Okay.... But why me? Isn't everyone in danger? Why help me in particular?,Карен: Хорошо… Но почему я? Разве не все в опасности? Почему ты помогаешь именно мне?,Karen: Okay.... But why me? Isn't everyone in danger? Why help me in particular?
SAY.Main Room Cycle 2.101.,,"Seth: Silly, I AM helping everyone! ","Сет: Да ну вы что, я И ТАК помогаю всем!","Seth: Silly, I AM helping everyone! "
SAY.Main Room Cycle 2.157.,,"I have already helped countless people, and you are just another lucky child of God, who gets the special treatment!","Я помог куче людей, а вы лишь ещё божье одно дитя, которому я помогаю!","I have already helped countless people, and you are just another lucky child of God, who gets the special treatment!"
SAY.Main Room Cycle 2.100.,,"But hush now, it was hard for your nerves today already! ","Тише, дитя. Сегодня был тяжелый день.","But hush now, it was hard for your nerves today already! "
SAY.Main Room Cycle 2.151.,,"Go to sleep now, I will guard it with my life! After you wake up, there is much to be done!","Ложись спать, я удостоверюсь, чтобы тебя никто не потревожил, даже если это будет стоить мне жизни! Завтра нам предстоит много дел!","Go to sleep now, I will guard it with my life! After you wake up, there is much to be done!"
SAY.Main Room Cycle 2.83.,,"Even if you are afraid of spiders, now you know there are things that are much worse than that!","Даже если вы боитесь пауков, теперь вы знаете, что есть вещи и пострашнее!","Even if you are afraid of spiders, now you know there are things that are much worse than that!"
SAY.Main Room Cycle 2.65.,,Well hello there missus!,"Ну здравствуйте, мисс!",Well hello there missus!
SAY.Main Room Cycle 2.78.,,I believe you find yourself in a bit of a situation!,"Я так наблюдаю, вы оказались в не самом приятном положении!",I believe you find yourself in a bit of a situation!
SAY.Main Room Cycle 2.77.,,Karen: Wha.....,Карен: Какого…,Karen: Wha.....
SAY.Main Room Cycle 2.76.,,Why are you here? How did you get inside?,Почему ты здесь? Как ты сюда попал?,Why are you here? How did you get inside?
SAY.Main Room Cycle 2.75.,,"Seth: Why? Missus, this is an emergency! And a big one I might say!","Сет: Почему? Мисс, это необычная ситуация! И довольно опасная!","Seth: Why? Missus, this is an emergency! And a big one I might say!"
SAY.Main Room Cycle 2.74.,,"I came here, to help you get rid of the demons in your home! I see you've been watching my programs, and following them!","Я пришел сюда, чтобы помочь вам избавиться от демонов в вашем доме! Вижу, вы смотрели мои передачи и следовали им!","I came here, to help you get rid of the demons in your home! I see you've been watching my programs, and following them!"
SAY.Main Room Cycle 2.60.,,"Karen: Oh no! It's almost 8 p.m.! I should do something, before it's too late!","Карен: О нет! Сейчас почти 8 вечера! Нужно что-то сделать, пока не поздно!","Karen: Oh no! It's almost 8 p.m.! I should do something, before it's too late!"
SAY.Main Room Cycle 2.61.,,"I have to turn on the lights in the places where we sleep, so the Devil does not invade us when we are not awake!","Я должна включить свет в местах сна, чтобы Дьявол не напал пока мы спим!","I have to turn on the lights in the places where we sleep, so the Devil does not invade us when we are not awake!"
SAY.Main Room Cycle 2.62.,,"But the corridors are equally important, so I should probably light them too!","Коридоры не менее важны, там тоже стоит включить свет!","But the corridors are equally important, so I should probably light them too!"
SAY.TV world Cycle 2.96.,,"LADIES AND GENTLEMEN, WELCOME!","ЛЕДИ И ДЖЕНТЛЬМЕНЫ, ДОБРО ПОЖАЛОВАТЬ!!","LADIES AND GENTLEMEN, WELCOME!"
SAY.TV world Cycle 2.97.,,"My name is Seth, and today's Public Service Announcement is dedicated to — Energy Consumption!","МЕНЯ ЗОВУТ СЕТ, И СЕГОДНЯШНЯЯ ПЕРЕДАЧА ПОСВЯЩЕНА — ЭНЕРГОПОТРЕБЛЕНИЮ","My name is Seth, and today's Public Service Announcement is dedicated to — Energy Consumption!"
SAY.TV world Cycle 2.98.,,THIS PROGRAM IS BROUGHT TO YOU BY THE SALVATION PROJECT.,ГЛАВНЫЙ СПОНСОР НАШЕЙ ПРОГРАММЫ - ПРОЖЕКТ ИСКУПЛЕНИЯ,THIS PROGRAM IS BROUGHT TO YOU BY THE SALVATION PROJECT.
SAY.TV world Cycle 2.99.,,"So, as we previously stated, energy consumption is an extremely important issue! ","Как говорилось ранее, энергопотребление является крайне серьезной проблемой!","So, as we previously stated, energy consumption is an extremely important issue! "
SAY.TV world Cycle 2.117.,,"However, sometimes, we have to ignore it, to protect ourselves from the evils of the world!","Однако, иногда нам приходится игнорировать ее, чтобы спастись от сатанинской угрозы!","However, sometimes, we have to ignore it, to protect ourselves from the evils of the world!"
SAY.TV world Cycle 2.100.,,"As you all know, satanism has started to rapidly grow in our communities!","Как вы уже знаете, сатанизм стремительно набирает популярность в нашей стране, и наши граждане начали борьбу!","As you all know, satanism has started to rapidly grow in our communities!"
SAY.TV world Cycle 2.110.,,"Since our last program, many of our viewers relayed to us their successes of protecting their house from the devil's propaganda!",С прошлого эфира многие наши зрители сообщили о своих успехах в борьбе с пропагандой дьявольщины!,"Since our last program, many of our viewers relayed to us their successes of protecting their house from the devil's propaganda!"
SAY.TV world Cycle 2.101.,,But that is not enough!,"Но и этого не достаточно! Как говорится в Иеремии, гл. 29, стих 11: Ведь Я знаю Мои намерения о вас, — возвещает Господь.",But that is not enough!
SAY.TV world Cycle 2.122.,,"As Jeremiah 29:11 says: For I know the plans I have for you, declares the Lord, plans for welfare and not for evil, to give you a future and a hope.","Намерения принести вам благополучие, а не беду, даровать вам будущее и надежду!","As Jeremiah 29:11 says: For I know the plans I have for you, declares the Lord, plans for welfare and not for evil, to give you a future and a hope."
SAY.TV world Cycle 2.102.,,"The Devil comes at the devil's hour! But using science, our specialists discovered that the correct time of the devil's hour is 8 p.m. !","Дьявол придёт в тёмный час! Но используя современную науку, наши учёные выяснили, что “тёмный час” - это 8 вечера!","The Devil comes at the devil's hour! But using science, our specialists discovered that the correct time of the devil's hour is 8 p.m. !"
SAY.TV world Cycle 2.103.,,"The Devil fears The Light! Even the smallest darkness can bring the devil, so we shall shine the light on it, and bring safety to our homes!",Дьявол боится Света! Даже слабая тень может впустить Дьявола в ваш дом! Поэтому вы должны пролить свет на тьму и обезопасить себя.,"The Devil fears The Light! Even the smallest darkness can bring the devil, so we shall shine the light on it, and bring safety to our homes!"
SAY.TV world Cycle 2.104.,,"We implore you - turn on every light in the home until 8 p.m., and make your house safer! The Devil shall not pass!","Вот наш совет - сохраните свой дом, включите все светильники в здании до восьми вечера! Дьявол не пройдет!","We implore you - turn on every light in the home until 8 p.m., and make your house safer! The Devil shall not pass!"
SAY.TV world Cycle 2.105.,,"Be careful, because if you don't care, THEY WILL.","Берегите себя и своих близких, иначе будет нечего беречь!","Be careful, because if you don't care, THEY WILL."
SAY.TV world Cycle 2.106.,,"This was a Salvation Project program, until the next time!\nSeth out!","Это был эфир Прожекта Искупления, с вами был Сет.\nДо скорой встречи!","This was a Salvation Project program, until the next time!\nSeth out!"
SAY.Windows.132.,,Window is already closed.,,Window is already closed.
SAY.Windows.159.,,I have to get the instruments and materials from the garage!,Мне нужно забрать инструменты и доски из гаража!,I have to get the instruments and materials from the garage!
SAY.Windows.134.,,One more window down!,Это окно готово!,One more window down!
SAY.Windows.145.,,That's it for windows!,С окнами покончено!,That's it for windows!
SAY.Windows.138.,,{$count} more to go!,Осталось еще {$count}!,{$count} more to go!
SAY.TasksEnd.72.,,I think that's it! Now the house is impenetrable to demons!,Вроде бы всё! Теперь демоны внутрь не залезут!,I think that's it! Now the house is impenetrable to demons!
SAY.TasksEnd.174.,,I think...,Надеюсь...,I think...
SAY.TasksEnd.175.,,I should go and see Seth.,"Пожалуй, надо проведать Сета.",I should go and see Seth.
SAY.PickUps Garage Cycle 3.13.,,These planks should be enough to cover all the windows in the house!.,"Этих досок должно хватить, чтобы заколотить все окна!",These planks should be enough to cover all the windows in the house!.
SAY.PickUps Garage Cycle 3.16.,,This hammer should do just fine! The nails are just the size i need too.,"Этот молоток подойдёт! И гвозди как раз то, что надо!",This hammer should do just fine! The nails are just the size i need too.
SAY.PickUps Garage Cycle 3.24.,,These are all the materials I'll need.,"Это всё, что мне нужно.",These are all the materials I'll need.
SAY.PickUps Garage Cycle 3.34.,,I have to find all the windows!,Я должна найти все окна!,I have to find all the windows!
SAY.PickUps Garage Cycle 3.29.,,Now I need to find a hammer and some nails.,Теперь мне нужно найти молоток с гвоздями.,Now I need to find a hammer and some nails.
SAY.PickUps Garage Cycle 3.35.,,They must be around somewhere.,Они должны быть где-то рядом.,They must be around somewhere.
SAY.PickUps Garage Cycle 3.26.,,Now I need to find the planks.,Теперь нужно найти доски.,Now I need to find the planks.
SAY.PickUps Garage Cycle 3.36.,,They must be around here somewhere.,Они должны быть где-то рядом.,They must be around here somewhere.
SAY.Crosses.1.,,"Oh my God! It was turned, just like he said!","Боже мой! Распятие перевернуто, как он и сказал!","Oh my God! It was turned, just like he said!"
SAY.Crosses.2.,,I should fix it immediately!,Я должна это немедленно исправить.,I should fix it immediately!
SAY.Crosses.6.,,That's better!,Так-то лучше!,That's better!
SAY.Crosses.25.,,I need to find one more rotated cross!,Мне нужно найти где еще есть перевернутые распятия!,I need to find one more rotated cross!
SAY.Crosses.24.,,It was the last one!,Это было последним!,It was the last one!
SAY.Crosses.26.,,Cross is rotated back already.,Распятие уже перевернуто.,Cross is rotated back already.
SAY.Main Room Cycle 3.63.,,I see you have completed your mission!,"Я смотрю, миссия выполнена!",I see you have completed your mission!
SAY.Main Room Cycle 3.65.,,"And most importantly, you are still alive!","А самое главное, вы все еще живы!","And most importantly, you are still alive!"
SAY.Main Room Cycle 3.64.,,Karen: I was attacked! How can you be so insensitive?,Да на меня напали! Почему ты такой равнодушный?,Karen: I was attacked! How can you be so insensitive?
SAY.Main Room Cycle 3.66.,,"Seth: I AM NOT INSENSITIVE, I AM JUST DOING MY JOB! AND MY JOB IS TO KEEP YOU SAFE!","Сет: Я НЕ РАВНОДУШНЫЙ, Я ВСЕГО ЛИШЬ ДЕЛАЮ СВОЮ РАБОТУ! А МОЯ РАБОТА - УБЕРЕЧЬ ТЕБЯ!","Seth: I AM NOT INSENSITIVE, I AM JUST DOING MY JOB! AND MY JOB IS TO KEEP YOU SAFE!"
SAY.Main Room Cycle 3.67.,,"MISSUS, YOU SHOULD NOT ANGER THE ONE, WHO GIVES YOU SALVATION!","МИСС, ВЫ НЕ ДОЛЖНЫ ЗЛИТЬ ТОГО, КТО ДАРУЕТ ВАМ ИСКУПЛЕНИЕ!","MISSUS, YOU SHOULD NOT ANGER THE ONE, WHO GIVES YOU SALVATION!"
SAY.Main Room Cycle 3.68.,,You look tired. You should go to sleep.,Вы выглядите устало. Ложитесь спать.,You look tired. You should go to sleep.
SAY.Main Room Cycle 3.69.,,Karen: But I don't want to sleep! I need to understand!,Карен: Но я не хочу спать! Я должна понять!,Karen: But I don't want to sleep! I need to understand!
SAY.Main Room Cycle 3.70.,,Seth: Go. To. Sleep.,Сет: Ложитесь. Спать.,Seth: Go. To. Sleep.
SAY.Main Room Cycle 3.59.,,"Maybe check your garage for instruments and materials, you are bound to have something!","Поищи инструменты и доски в гараже, уж там-то точно что-нибудь найдёшь!","Maybe check your garage for instruments and materials, you are bound to have something!"
SAY.Main Room Cycle 3.60.,,"I also remember you having a cross in here nearby, as well as a mirror in your room.","Я видел пару распятий у тебя в доме, а ещё большое зеркало в твоей комнате.","I also remember you having a cross in here nearby, as well as a mirror in your room."
SAY.Main Room Cycle 3.61.,,"So, what are you waiting for? Go go go!!","Ну, чего стоишь? Вперёд, вперёд, вперёд!!","So, what are you waiting for? Go go go!!"
SAY.Main Room Cycle 3.57.,,What a charmer huh? Sure is an energetic fella!,Ну и обаяшка! Какой энергичный парень!,What a charmer huh? Sure is an energetic fella!
SAY.Main Room Cycle 3.58.,,"But he is right! You should get on your feet, and start covering them windows!",Но он прав! Пора проснуться и начать баррикадировать окна!,"But he is right! You should get on your feet, and start covering them windows!"
SAY.Main Room Cycle 3.89.,,...,...,...
SAY.SpookyEvent Mom room Cycle 3.17.,,What was that thing?,Что это было?,What was that thing?
SAY.SpookyEvent Mom room Cycle 3.18.,,It's not here...?,Оно не здесь...?,It's not here...?
SAY.Mirror.20.,,I need to cover this!,Надо завесить это зеркало!,I need to cover this!
SAY.Mirror.9.,,Mirror is covered already.,Зеркало уже завешено.,Mirror is covered already.
SAY.TV world Cycle 3.102.,,"WELCOME, EVERYONE!",ПРИВЕТ ВСЕМ!,"WELCOME, EVERYONE!"
SAY.TV world Cycle 3.103.,,"MY NAME IS SETH,  AND TODAY'S PUBLIC SERVICE ANNOUNCEMENT IS DEDICATED TO THE SIGNS OF SATAN IN YOUR HOUSE!","МЕНЯ ЗОВУТ СЕТ, И СЕГОДНЯШНЯЯ ПЕРЕДАЧА ПОСВЯЩЕНА ПРИЗНАКАМ ДЬЯВОЛА В ВАШЕМ ДОМЕ!","MY NAME IS SETH,  AND TODAY'S PUBLIC SERVICE ANNOUNCEMENT IS DEDICATED TO THE SIGNS OF SATAN IN YOUR HOUSE!"
SAY.TV world Cycle 3.104.,,This program is brought to you by The Salvation Project.,ГЛАВНЫЙ СПОНСОР НАШЕЙ ПРОГРАММЫ - ПРОЖЕКТ ИСКУПЛЕНИЯ!,This program is brought to you by The Salvation Project.
SAY.TV world Cycle 3.105.,,"As you should know, THE DEVIL IS COMING! And we should all be protecting ourselves and our loved ones from the Devil!","Как вам наверняка известно, ДЬЯВОЛ ГРЯДЁТ! Нам же надо сделать все возможное, чтобы защитить от него себя и своих близких.","As you should know, THE DEVIL IS COMING! And we should all be protecting ourselves and our loved ones from the Devil!"
SAY.TV world Cycle 3.106.,,CHECK YOUR WINDOWS! CHECK YOUR WINDOWS!  BOARD THEM UP! BOARD THEM UP!,ПРОВЕРЬТЕ ОКНА! ПРОВЕРЬТЕ ОКНА! ПРОВЕРЬТЕ ОКНА! ЗАКОЛОТИТЕ ИХ! ЗАКОЛОТИТЕ ИХ!,CHECK YOUR WINDOWS! CHECK YOUR WINDOWS!  BOARD THEM UP! BOARD THEM UP!
SAY.TV world Cycle 3.107.,,SATAN SHALL NOT PASS!,ДЬЯВОЛ НЕ ПРОЙДЕТ!,SATAN SHALL NOT PASS!
SAY.TV world Cycle 3.108.,,CHECK YOUR CROSSES! MAKE SURE THEY ARE NOT INVERTED! CHECK YOUR MIRRORS! COVER THEM UP!,ПРОВЕРЬТЕ ВАШИ РАСПЯТЬЯ! УБЕДИТЕСЬ ЧТО ОНИ НЕ ПЕРЕВЕРНУТЫ! ПРОВЕРЬТЕ ЗЕРКАЛА! ЗАВЕСЬТЕ ИХ!,CHECK YOUR CROSSES! MAKE SURE THEY ARE NOT INVERTED! CHECK YOUR MIRRORS! COVER THEM UP!
SAY.TV world Cycle 3.109.,,SATANNNNN SHALL NOT PASS! SATANNNNN SHALL NOT PASS!,ДЬЯВОЛ НЕ ПРОЙДЕТ! ДЬЯВОЛ НЕ ПРОЙДЕТ!,SATANNNNN SHALL NOT PASS! SATANNNNN SHALL NOT PASS!
SAY.TV world Cycle 3.110.,,"Be careful, because if you don't care, THEY WILL.","Берегите себя и своих близких, иначе беречь будет некого!","Be careful, because if you don't care, THEY WILL."
SAY.TV world Cycle 3.111.,,"This was a Salvation Project program, until next time!\nSeth out!","Это был эфир Прожекта Искупления, с вами был Сет!\nДо скорой встречи!","This was a Salvation Project program, until next time!\nSeth out!"
SAY.NoNeedSwitch.3.,,The lights are not coming on! I need to do what Seth says quickly!,Свет не включается! Да и всё равно!,The lights are not coming on! I need to do what Seth says quickly!
SAY.Doors.28.,,I need to find candles and chalk in the storage! Nothing else matters now!,"Нужно найти свечи и зажигалку, как сказал Сет!",I need to find candles and chalk in the storage! Nothing else matters now!
SAY.Start.31.,,"YESSS!! YEHEHEHESSS!! NOW THE TIME HAS COME, YOUR SOUL WILL BE OURS!",ДААА! ДА-ХА-ХА-ХА! ВРЕМЯ ПРИШЛО! ТВОЯ ДУША БУДЕТ НАШЕЙ!,"YESSS!! YEHEHEHESSS!! NOW THE TIME HAS COME, YOUR SOUL WILL BE OURS!"
SAY.Start.32.,,THE SALVATION PROJECT! IT IS FINALLY COMPLETED!\nTHE HOLLOW STAR  HAS AWAKENED AND YOU WERE IT'S ORIGINATOR!,ПРОЖЕКТ ИСКУПЛЕНИЯ: ОН НАКОНЕЦ ЗАВЕРШЁН! ОТРЕЧЁННАЯ ЗВЕЗДА ПРОБУДИЛАСЬ! И ВСЁ ЭТО БЛАГОДАРЯ ТЕБЕ!,THE SALVATION PROJECT! IT IS FINALLY COMPLETED!\nTHE HOLLOW STAR  HAS AWAKENED AND YOU WERE IT'S ORIGINATOR!
SAY.Start.48.,,"PERISH YOU NAIVE WENCH, AND SUCCUMB TO THE WILL OF OUR DARK LORD!","СДОХНИ, НАИВНАЯ ЖЕНЩИНА, И СДАЙСЯ ВОЛЕ НАШЕГО ТЕМНОГО ВЛАСТЕЛИНА!","PERISH YOU NAIVE WENCH, AND SUCCUMB TO THE WILL OF OUR DARK LORD!"
SAY.Start.50.,,,,
SAY.NoNeedSwitch.1.,,,,
SAY.Pentagram.11.,,I need to find all materials in a storage!,Я должна найти все материалы в кладовке!,I need to find all materials in a storage!
SAY.Pentagram.25.,,I need to talk to Seth first.,Мне нужно сначала поговорить с Сетом.,I need to talk to Seth first.
SAY.Pentagram.35.,,"THATS' IT!\nNow, draw the sacred pentagram, and place the candles on the edges of the forsaken star!","ЭТО ВСЁ, ЧТО НУЖНО!\nТеперь нарисуй священную пентаграмму и расставь свечи по углам отреченной звезды!","THATS' IT!\nNow, draw the sacred pentagram, and place the candles on the edges of the forsaken star!"
SAY.Pentagram.37.,,The Lord Demands it! The Lord is Coming!,ГОСПОДЬ ТОГО ТРЕБУЕТ! ГОСПОДЬ ИДЕТ!,The Lord Demands it! The Lord is Coming!
SAY.Main Room Cycle 4.22.,,Focus now!,Слушай внимательно!,Focus now!
SAY.Main Room Cycle 4.24.,,"Get the chalk and candles from storage, lighter from the kitchen, and DON'T forget the lighter! ","Найди мел и свечи в кладовке, зажигалку на кухне и НЕ СМЕЙ что-нибудь забыть!","Get the chalk and candles from storage, lighter from the kitchen, and DON'T forget the lighter! "
SAY.Main Room Cycle 4.35.,,The storage room is right across the corridor!,Кладовка - прямо по коридору!,The storage room is right across the corridor!
SAY.Main Room Cycle 4.25.,,"Then, and ONLY then get back to me, and we'll begin the ritual.","Тогда и ТОЛЬКО ТОГДА возвращайся ко мне, и мы начнем ритуал.","Then, and ONLY then get back to me, and we'll begin the ritual."
SAY.TV world Cycle 4.102.,,HEYA THERE MISSUS!,"Ну здравствуйте, мисс!",HEYA THERE MISSUS!
SAY.TV world Cycle 4.103.,,I SEE YOU'RE BACK AGAIN FOR THE DAILY WISDOM!,"Я ВИЖУ, ТЫ ВЕРНУЛАСЬ ЗА ЕЖЕДНЕВНОЙ ПОРЦИЕЙ МУДРОСТИ!",I SEE YOU'RE BACK AGAIN FOR THE DAILY WISDOM!
SAY.TV world Cycle 4.104.,,YOU ARE UNDER ATTACK!,ТЫ ПОД УГРОЗОЙ!,YOU ARE UNDER ATTACK!
SAY.TV world Cycle 4.105.,,YOUR LIFE IS UNDER ATTACK!,ТВОЯ ЖИЗНЬ ПОД УГРОЗОЙ!,YOUR LIFE IS UNDER ATTACK!
SAY.TV world Cycle 4.106.,,YOUR SOUL IS UNDER ATTACK!,ТВОЯ ДУША ПОД УГРОЗОЙ!,YOUR SOUL IS UNDER ATTACK!
