Key,Description,Standard,RU,RU_DESCRIPTION
SAY.NoNeedSwitch.3.,,The lights are not coming on! I need to do what Seth says quickly!,Свет не включается! Да и всё равно!,
SAY.Doors.28.,,I need to find candles and chalk in the storage! Nothing else matters now!,"Нужно найти свечи и зажигалку, как сказал Сет!",
SAY.Start.31.,,"YESSS!! YEHEHEHESSS!! NOW THE TIME HAS COME, YOUR SOUL WILL BE OURS!",ДААА! ДА-ХА-ХА-ХА! ВРЕМЯ ПРИШЛО! ТВОЯ ДУША БУДЕТ НАШЕЙ!,
SAY.Start.32.,,THE SALVATION PROJECT! IT IS FINALLY COMPLETED!\nTHE HOLLOW STAR  HAS AWAKENED AND YOU WERE IT'S ORIGINATOR!,ПРОЖЕКТ ИСКУПЛЕНИЯ: ОН НАКОНЕЦ ЗАВЕРШЁН! ОТРЕЧЁННАЯ ЗВЕЗДА ПРОБУДИЛАСЬ! И ВСЁ ЭТО БЛАГОДАРЯ ТЕБЕ!,
SAY.Start.48.,,"PERISH YOU NAIVE WENCH, AND SUCCUMB TO THE WILL OF OUR DARK LORD!","СДОХНИ, НАИВНАЯ ЖЕНЩИНА, И СДАЙСЯ ВОЛЕ НАШЕГО ТЕМНОГО ВЛАСТЕЛИНА!",
SAY.Start.50.,,,,
SAY.NoNeedSwitch.1.,,,,
SAY.Pentagram.11.,,I need to find all materials in a storage!,Я должна найти все материалы в кладовке!,
SAY.Pentagram.25.,,I need to talk with Seth at first.,Мне нужно сначала поговорить с Сетом.,
SAY.Pentagram.35.,,"THATS' IT!\nNow, draw the sacred pentagram, and place the candles on the edges of the forsaken star!","ЭТО ВСЁ ЧТО НУЖНО!\nТеперь, нарисуй священную пентаграмму и расставь свечи по углам отреченной звезды!",
SAY.Pentagram.37.,,The Lord Demands it! The Lord is Coming!,ГОСПОДЬ ТОГО ТРЕБУЕТ! ГОСПОДЬ ИДЕТ!,
SAY.Main Room Cycle 4.22.,,Focus now!,Слушай внимательно!,
SAY.Main Room Cycle 4.24.,,"Get the chalk and candles from storage, lighter from the kitchen, and DON'T forget the lighter! ","Найди мел и свечи в кладовке, зажигалку на кухне и НЕ СМЕЙ что нибудь забыть!",
SAY.Main Room Cycle 4.35.,,The storage room is right across the corridor!,Кладовка - прямо по коридору!,
SAY.Main Room Cycle 4.25.,,"Then, and ONLY then get back to me, and we'll begin the ritual.",Тогда и ТОЛЬКО ТОГДА возвращайся ко мне и мы начнем ритуал.,
SAY.TV world Cycle 4.102.,,HEYA THERE MISSUS!,"Ну здравствуйте, мисс!",
SAY.TV world Cycle 4.103.,,I SEE YOU'RE BACK AGAIN FOR THE DAILY WISDOM!,Я ВИЖУ ТЫ ВЕРНУЛАСЬ ЗА ЕЖЕДНЕВНОЙ ПОРЦИЕЙ МУДРОСТИ!,
SAY.TV world Cycle 4.104.,,YOU ARE UNDER ATTACK!,ТЫ ПОД УГРОЗОЙ!,
SAY.TV world Cycle 4.105.,,YOUR LIFE IS UNDER ATTACK!,ТВОЯ ЖИЗНЬ ПОД УГРОЗОЙ!,
SAY.TV world Cycle 4.106.,,YOUR SOUL IS UNDER ATTACK!,ТВОЯ ДУША ПОД УГРОЗОЙ!,
SAY.TV world Cycle 4.107.,,WE HAVE TO GO FOR THE NUCLEAR OPTION - YOU HAVE TO CALL FOR HELP!,НАМ ПРИДЕТСЯ ПРИБЕГНУТЬ К КРАЙНИМ МЕРАМ! МЫ ОБРАТИМСЯ ЗА ПОМОЩЬЮ!,
SAY.TV world Cycle 4.108.,,"LUCKILY, OUR MANAGER KNOWS THE CORRECT RITUAL, TO SUMMON A GUARDIAN ANGEL FOR YOUR HOME!","К СЧАСТЬЮ, НАШ МЕНЕДЖЕР ЗНАЕТ ПОДХОДЯЩИЙ РИТУАЛ, ПРИЗЫВАЮЩИЙ АНГЕЛА ХРАНИТЕЛЯ В ТВОЙ ДОМ!",
SAY.TV world Cycle 4.109.,,DO IT! NOW! DO IT! NOW!,СДЕЛАЙ ЭТО! СДЕЛАЙ ЭТО! СДЕЛАЙ ЭТО!,
SAY.Main Room Cycle 5 Start.3.,,Karen: What was that? What is happening?,,
SAY.Main Room Cycle 5 Start.5.,,Everything is back to normal...,,
SAY.Main Room Cycle 5 Start.4.,,I should go and pick up that phone.,,
SAY.Main Room Cycle 5.7.,,What are these wailings? What is happening? What am i....,Что это за крики? Что за стоны? Что тут.....,
SAY.Main Room Cycle 5.32.,,"Man in the phone: Mam? Hello mam, can you hear me?","Мужчина в телефоне: Мэм, вы меня слышите?",
SAY.Main Room Cycle 5.33.,,"You stopped responding to my calls a week ago, is everything okay?",Вы перестали отвечать на звонки с прошлой недели.,
SAY.Main Room Cycle 5.34.,,Do you take your medication daily?,Вы не забываете принимать свои таблетки?,
SAY.Main Room Cycle 5.35.,,Karen: I need help....,Карен: Мне нужна помощь....,
SAY.Main Room Cycle 5.52.,,I want to see my family again.,Я хочу увидеть свою семью...,
SAY.PickUps Childroom Cycle 1.5.,,This is a MENTALLICA poster.,Это плакат МЕНТАЛИКИ.,
SAY.PickUps Childroom Cycle 1.9.,,What a terrifying poster! I better take it down.,Какой кошмарный плакат! Надо его сорвать.,
SAY.PickUps Childroom Cycle 1.6.,,This is a MENTALLICA audiotape.,Это кассета с МЕНТАЛИКОЙ.,
SAY.PickUps Childroom Cycle 1.8.,,Sure does look satanic! It is definetely dangerous!,Такая музыка играет в Аду! Эта кассета опасна!,
SAY.PickUps Childroom Cycle 1.7.,,"This is a ""rulebook"" for a board game Dungeons and Demons!",Это “книга правил” для настольной игры Подземелья и Демоны!,
SAY.PickUps Childroom Cycle 1.10.,,"If this isn't an indoctrination book, i don't know what is!","Однозначно, это книга для промывания мозгов!",
SAY.PickUps Childroom Cycle 1.24.,,"I think that's all of them! I should just burn it in the furnace, in the garage.","Думаю это всё! Надо отправить это в печь, что в гараже.",
SAY.PickUps Childroom Cycle 1.23.,,"Now, there {$items} more satanic objects to find!",Осталось найти еще {$items} предметов.,
SAY.Garage Cycle 1.13.,,I should go look for these demonic items in my son's bedroom!,Я должна поискать дьявольские вещи в спальне моего сныа!,
SAY.Garage Cycle 1.17.,,"Burn, burn, burn! There is no place for Satan in my home!","Гори, гори ясно! Дьяволу нет места в моем доме!",криндж
SAY.Garage Cycle 1.30.,,"Now that the job is done, i can finally rest near the TV again. Another day done right!","Дело сделано, можно и прилечь у телевизора. Очередной день проведен с пользой!",
SAY.Main Room Cycle 1.3.,,...,...,
SAY.Main Room Cycle 1.85.,,Karen: This does raise a concern! I think i saw something that could be satanic in my son's room upstairs...,Карен: Ну ничего себе! Мне кажется я видела что-то сатанистическое в комнате моего сына.,
SAY.Main Room Cycle 1.86.,,I have to investigate immediately!,Я должна срочно проверить второй этаж!,
SAY.Main Room Cycle 1.110.,,"TV:In today's news: there was an event of greatest importance today! Jonathan Wozzus gave us his inaugural speech, in which he....","ТВ: В сегодняшних новостях: сегодня случилось величайшее событие! Джонатан Возусс выступил с инаугурационной речью, в которой он...",
SAY.TV world Cycle 1.39.,,"LADIES AND GENTELMEN, WELCOME!","ЛЕДИ И ДЖЕНТЕЛЬМЕНЫ, ДОБРО ПОЖАЛОВАТЬ!!",
SAY.TV world Cycle 1.5.,,"MY NAME IS SETH, AND TODAY'S PUBLIC SERVICE ANNOUNCEMENT IS DEDICATED TO: YOUR FEARS!",МЕНЯ ЗОВУТ СЕТ И В СЕГОДНЯШНЕЙ ПЕРЕДАЧЕ МЫ ПОГОВОРИМ О: ВАШИХ СТРАХАХ!,
SAY.TV world Cycle 1.6.,,THIS PROGRAM IS BROUGHT TO YOU BY THE SALVATION PROJECT.,ГЛАВНЫЙ СПОНСОР НАШЕЙ ПРОГРАММЫ - ПРОЖЕКТ ИСКУПЛЕНИЯ,
SAY.TV world Cycle 1.7.,,And what fear are we going to be discussing today?,И о каких же страхах мы будем говорить?,
MENU.TV world Cycle 1.10,,Spiders,Пауки,
MENU.TV world Cycle 1.12,,The Nuclear War,Ядерная война,
MENU.TV world Cycle 1.13,,Satanism,Сатанизм,
SAY.TV world Cycle 1.76.,,THAT'S RIGHT!,ПРАВИЛЬНО!,
SAY.TV world Cycle 1.77.,,SATANISM!,САТАНИЗМ!,
SAY.TV world Cycle 1.78.,,"Satanism is a great danger to our citizens, and we aaaall should be on our toes!","Итак, сатанизм представляет огромную опасность для наших граждан, потому, мы все должны быть начеку!",
SAY.TV world Cycle 1.79.,,"It's a danger to our souls, to our world, and OUR way of living!","Наш мир, наш образ жизни, наши ДУШИ находятся в опасности!",
SAY.TV world Cycle 1.80.,,And this Danger strikes where it hurts most - our children!,А главную опасность берут на себя наши дети!,
SAY.TV world Cycle 1.81.,,"To make sure your kids are safe, you should locate the satanic objects in your household before it's too late!","Чтобы уберечь ваших детей, необходимо избавиться от дьявольских вещей внутри вашего дома!",
SAY.TV world Cycle 1.82.,,"The typical satanic object includes: satanic audiotapes, satanic posters, or satanic books. ","Дьявольские кассеты, дьявольские постеры, дьявольские книги, всё это - типичные вещи Дьявола.",
SAY.TV world Cycle 1.98.,,"Beware, these can be hidden in plain sight!","Будьте внимательны, они могут быть скрыты на самом видном месте.",
SAY.TV world Cycle 1.83.,,"And on that, we wish your family luck, in searching and destroying the threats inside your home!",На этой ноте мы желаем вашей семье удачи в поиске и устранении угроз в вашем доме.,
SAY.TV world Cycle 1.84.,,"Be careful, because if you don't care, THEY WILL.","Берегите себя и своих близких, иначе беречь будет нечего!",
SAY.TV world Cycle 1.99.,,This has been a broadcast from the Salvation Project. Until next time!\nSeth out!,"Это был эфир Прожекта Искупления, с вами был Сет.\nДо скорой встречи!",
SAY.Blackout 2 1.2.,Копипаста из-за специфики эвента. (сорян),I should go down to the garage and restart the power.,Я должна спуститься в гараж и включить свет.,
SAY.Blackout 2 1.1.,,Karen: Oh no! I think the power went out because of the overload!,Карен: О нет! Кажется пробки выбило из за нагрузки!,
SAY.Blackout 2 2.2.,,I should go down to the garage and restart the power.,Я должна спуститься в гараж и включить свет.,
SAY.Blackout 2 2.1.,,Karen: Oh no! I think the power went out because of the overload!,Карен: О нет! Кажется пробки выбило из за нагрузки!,
SAY.Blackout 2 3.2.,,I should go down to the garage and restart the power.,Я должна спуститься в гараж и включить свет.,
SAY.Blackout 2 3.1.,,Karen: Oh no! I think the power went out because of the overload!,Карен: О нет! Кажется пробки выбило из за нагрузки!,
SAY.EndCheck.72.,,I think that's it! Now the house is inpenetrable to demons!,Вроде бы всё! Теперь демоны внутрь не залезут!,
SAY.EndCheck.174.,,I think...,Надеюсь...,
SAY.EndCheck.175.,,I should go and see Seth.,Пожалуй надо проведать Сета.,
